Nev,URL
more..,https://www.sequencer.de/syns/roland/System100.html
more..,https://www.sequencer.de/syns/siel/Cruise.html
more..,https://www.sequencer.de/syns/solton/PulserM75_DualVoiceSynthesizer.html
more..,https://www.sequencer.de/syns/tomoberheim/TVS_Pro.html
more..,https://www.sequencer.de/syns/elektron/SIDstation.html
more..,https://www.sequencer.de/syns/korg/Trident.html
more..,https://www.sequencer.de/syns/korg/VolcaKeys.html
more..,https://www.sequencer.de/syns/moog/Opus3.html
more..,https://www.sequencer.de/syns/akai/TimbreWolf.html
more..,https://www.sequencer.de/syns/arp/2500.html
more..,https://www.sequencer.de/syns/davesmith/PolyEvolverKeyboard_PEK.html
more..,https://www.sequencer.de/syns/davesmith/PolyEvolverRack.html
more..,https://www.sequencer.de/syns/davesmith/Tetr4_Tetra.html
more..,https://www.sequencer.de/syns/davesmith/Mopho4X.html
more..,https://www.sequencer.de/syns/korg/Minilogue.html
more..,https://www.sequencer.de/syns/mfb/PolyLite.html
more..,https://www.sequencer.de/syns/oberheim/FourVoice_4Voice.html
more..,https://www.sequencer.de/syns/ppg/Modular100_Modular300.html
more..,https://www.sequencer.de/syns/roland/System100m.html
more..,https://www.sequencer.de/syns/roland/Jupiter4.html
more..,https://www.sequencer.de/syns/synlab/Modularsystem.html
more..,https://www.sequencer.de/syns/vermona/Perfourmer.html
more..,https://www.sequencer.de/syns/vermona/PerfourmerMk2_PerfourmerMkII.html
more..,https://www.sequencer.de/syns/yamaha/CS50.html
more..,https://www.sequencer.de/syns/cluboftheknobs/Modular.html
more..,https://www.sequencer.de/syns/gleeman/Pentaphonic.html
more..,https://www.sequencer.de/syns/sequentialcircuits/Prophet5.html
more..,https://www.sequencer.de/syns/akai/AX60.html
more..,https://www.sequencer.de/syns/akai/VX600.html
more..,https://www.sequencer.de/syns/akai/AX73_VX90.html
more..,https://www.sequencer.de/syns/cheetah/MS6.html
more..,https://www.sequencer.de/syns/crumar/Bit99_bit01_bitOne.html
more..,https://www.sequencer.de/syns/davesmith/OB6.html
more..,https://www.sequencer.de/syns/eeh/Banana.html
more..,https://www.sequencer.de/syns/elka/EK22_EM22.html
more..,https://www.sequencer.de/syns/kiwi/Kiwi.html
more..,https://www.sequencer.de/syns/korg/Poly61.html
more..,https://www.sequencer.de/syns/korg/Polysix_Poly6.html
more..,https://www.sequencer.de/syns/moog/Memorymoog.html
more..,https://www.sequencer.de/syns/oberheim/Xpander.html
more..,https://www.sequencer.de/syns/oberheim/Matrix6.html
more..,https://www.sequencer.de/syns/oberheim/Matrix1000.html
more..,https://www.sequencer.de/syns/oberheim/OBSX.html
more..,https://www.sequencer.de/syns/rhodes/ChromaPolaris.html
more..,https://www.sequencer.de/syns/roland/Jupiter6.html
more..,https://www.sequencer.de/syns/roland/JX8P.html
more..,https://www.sequencer.de/syns/roland/JX3P.html
more..,https://www.sequencer.de/syns/roland/Juno60.html
more..,https://www.sequencer.de/syns/roland/Juno6.html
more..,https://www.sequencer.de/syns/roland/Juno106.html
more..,https://www.sequencer.de/syns/roland/HS60_Juno106S.html
more..,https://www.sequencer.de/syns/roland/AlphaJuno2_AlphaJuno1.html
more..,https://www.sequencer.de/syns/roland/MKS30.html
more..,https://www.sequencer.de/syns/roland/MKS50.html
more..,https://www.sequencer.de/syns/sequentialcircuits/Prophet600.html
