Kategoria,Hangszer_Nev,Oldalcim,URL
Digital,Sq1 Sq2 Sqr,"Ensoniq SQ1, SQ2, SQR Digital Synthesizer advanced sequencer",https://www.sequencer.de/syns/ensoniq/SQ1_SQ2_SQR.html
Digital,S3,General Music S3 Digital Synthesizer workstation sequencer,https://www.sequencer.de/syns/generalmusic/S3.html
Digital,K5000 K5000S K5000W,"Kawai K5000, K5000s , K5000w Digital Synthesizer",https://www.sequencer.de/syns/kawai/K5000_K5000s_K5000w.html
Digital,Wavestationad Wavestationsr Wavestationex,"Korg Wavestation AD, Wavestation SR, Wavestation EX Digital Synthesizer",https://www.sequencer.de/syns/korg/WavestationAD_WavestationSR_WavestationEX.html
Digital,01W 03W 05W,"Korg 01W, 03W, 05W Digital Synthesizer workstation sequencer",https://www.sequencer.de/syns/korg/01W_03W_05W.html
Digital,Trinity Trrack,"Korg Trinity , TRrack Digital Synthesizer workstation sequencer",https://www.sequencer.de/syns/korg/Trinity_TRrack.html
Digital,X2 X3 X3R,"Korg X2, X3, X3R Digital Synthesizer workstation sequencer",https://www.sequencer.de/syns/korg/X2_X3_X3R.html
Digital,Supernova,Novation Supernova Digital Synthesizer,https://www.sequencer.de/syns/novation/Supernova.html
Digital,Sh32,Roland SH32 Digital Synthesizer,https://www.sequencer.de/syns/roland/SH32.html
Digital,D10 D110,"Roland D10, D110 Digital Synthesizer",https://www.sequencer.de/syns/roland/D10_D110.html
Digital,D20,Roland D20 Digital Synthesizer workstation sequencer,https://www.sequencer.de/syns/roland/D20.html
Digital,Mt32,Roland MT32 Digital Synthesizer,https://www.sequencer.de/syns/roland/MT32.html
Digital,Acxel,Technos Acxel Digital Synthesizer,https://www.sequencer.de/syns/technos/Acxel.html
Digital,Q,Waldorf Q Digital Synthesizer analog step sequencer,https://www.sequencer.de/syns/waldorf/Q.html
Digital,Dx5,Yamaha DX5 Digital Synthesizer,https://www.sequencer.de/syns/yamaha/DX5.html
Digital,Dx1,Yamaha DX1 Digital Synthesizer,https://www.sequencer.de/syns/yamaha/DX1.html
Digital,Tg77,Yamaha TG77 Digital Synthesizer,https://www.sequencer.de/syns/yamaha/TG77.html
Digital,Sy77,Yamaha SY77 Digital Synthesizer workstation sequencer,https://www.sequencer.de/syns/yamaha/SY77.html
Digital,Sy99,Yamaha SY99 Digital Synthesizer workstation sequencer,https://www.sequencer.de/syns/yamaha/SY99.html
Digital,Fs1R,Yamaha FS1R Digital Synthesizer,https://www.sequencer.de/syns/yamaha/FS1R.html
Digital,Cs1X,Yamaha CS1x Digital Synthesizer,https://www.sequencer.de/syns/yamaha/CS1x.html
Digital,Tg33,Yamaha TG33 Digital Synthesizer,https://www.sequencer.de/syns/yamaha/TG33.html
Digital,Sy35,Yamaha SY35 Digital Synthesizer,https://www.sequencer.de/syns/yamaha/SY35.html
